ImageNumber,ObjectNumber,Metadata_FileLocation,Metadata_Frame,Metadata_Mouse,Metadata_Series,Metadata_Slice,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_CentralMoment_0_0,AreaShape_CentralMoment_0_1,AreaShape_CentralMoment_0_2,AreaShape_CentralMoment_0_3,AreaShape_CentralMoment_1_0,AreaShape_CentralMoment_1_1,AreaShape_CentralMoment_1_2,AreaShape_CentralMoment_1_3,AreaShape_CentralMoment_2_0,AreaShape_CentralMoment_2_1,AreaShape_CentralMoment_2_2,AreaShape_CentralMoment_2_3,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_HuMoment_0,AreaShape_HuMoment_1,AreaShape_HuMoment_2,AreaShape_HuMoment_3,AreaShape_HuMoment_4,AreaShape_HuMoment_5,AreaShape_HuMoment_6,AreaShape_InertiaTensorEigenvalues_0,AreaShape_InertiaTensorEigenvalues_1,AreaShape_InertiaTensor_0_0,AreaShape_InertiaTensor_0_1,AreaShape_InertiaTensor_1_0,AreaShape_InertiaTensor_1_1,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_NormalizedMoment_0_0,AreaShape_NormalizedMoment_0_1,AreaShape_NormalizedMoment_0_2,AreaShape_NormalizedMoment_0_3,AreaShape_NormalizedMoment_1_0,AreaShape_NormalizedMoment_1_1,AreaShape_NormalizedMoment_1_2,AreaShape_NormalizedMoment_1_3,AreaShape_NormalizedMoment_2_0,AreaShape_NormalizedMoment_2_1,AreaShape_NormalizedMoment_2_2,AreaShape_NormalizedMoment_2_3,AreaShape_NormalizedMoment_3_0,AreaShape_NormalizedMoment_3_1,AreaShape_NormalizedMoment_3_2,AreaShape_NormalizedMoment_3_3,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_SpatialMoment_0_0,AreaShape_SpatialMoment_0_1,AreaShape_SpatialMoment_0_2,AreaShape_SpatialMoment_0_3,AreaShape_SpatialMoment_1_0,AreaShape_SpatialMoment_1_1,AreaShape_SpatialMoment_1_2,AreaShape_SpatialMoment_1_3,AreaShape_SpatialMoment_2_0,AreaShape_SpatialMoment_2_1,AreaShape_SpatialMoment_2_2,AreaShape_SpatialMoment_2_3,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_Iba1_nuc
6,39,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/WT_MD/21-2-1_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,21-2-1,0,slice1,9176,55680,1645,3568,1471,3248,1558.669028,3391.935375,9176,8.73E-11,9834243.838,50497502.72,6.40E-10,14006743.73,-51343767.15,33458855858,56415158.68,-177192857,59096058386,-9.93E+11,34.34695166,30653,0.949411749,108.0890654,-1,0.164798851,0.029114665,0.786819575,0.416750212,0.008841317,0.001458596,4.83E-06,0.00017005,2.02E-06,6571.766368,648.0900527,1071.735379,-1526.454199,-1526.454199,6148.121042,324.2657273,320.2264824,16.1245155,3.456320867,2.828427125,124.6623398,101.8304515,nan,nan,0.116797666,0.006260895,nan,0.166352899,-0.006365818,0.043306279,0.670021909,-0.021969122,0.07648888,-0.013414093,0.041177413,0.17664261,-0.027169968,0.045382686,15.51122645,1990.103823,0.299350798,9176,804451,80359681,8819869813,1320751,129795700,13971172258,1.61E+12,246517949,25466927912,2.82E+12,3.30E+14,1558.669028,3391.935375,0,39,39
6,40,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/WT_MD/21-2-1_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,21-2-1,0,slice1,5759,26455,1191,3572,1048,3387,1124.706025,3484.631533,5759,-2.91E-11,5767557.301,17726706.2,2.91E-11,2499660.186,18800693.91,3785000727,10541922.11,25461445.02,9733306078,2.28E+11,23.96532087,18114,0.771598016,85.6305234,-3,0.217690418,0.041726961,0.491751781,0.043443859,0.003370863,0.000837203,1.12E-07,-8.48E-05,1.40E-06,2016.178922,815.8195867,1001.4859,-434.0441371,-434.0441371,1830.512609,179.6075242,203.482186,15.62049935,3.487585315,2.828427125,125.8722622,114.2502227,nan,nan,0.173899271,0.007043043,nan,0.07536797,0.007469752,0.019816399,0.317852511,0.010116152,0.050958794,0.015716799,-0.030767066,0.089951747,0.011427895,0.025437416,23.15925639,1316.952452,0.317930882,5759,441750,39652444,3944120874,562260,45628390,4273607594,4.37E+11,65436228,5532905722,5.32E+11,5.55E+13,1124.706025,3484.631533,0,40,40
6,41,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/WT_MD/21-2-1_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,21-2-1,0,slice1,3574,18327,409,3597,286,3448,358.4613878,3513.842753,3574,-1.53E-11,2177444.172,-45849514.57,-1.18E-11,-4134.700056,-11584572.87,-184622200.9,3066945.627,2879751.591,558817129.1,-4076068833,11.41585765,9993,0.538552834,67.45782485,1,0.195012823,0.087597448,0.410568728,0.004849675,0.01738696,0.00568675,-5.65E-05,-4.13E-05,2.42E-06,858.1323017,609.2403336,609.2457111,1.15688306,1.15688306,858.1269243,117.1755812,148.0540442,18.38477631,4.318815655,3,96.8210423,98.73117713,nan,nan,0.170466064,-0.060041063,nan,-0.000323694,-0.015170282,-0.004044085,0.240102665,0.003771105,0.012240695,-0.001493484,0.065374286,-0.000186809,-0.001678216,-0.000204821,-0.26632226,716.038672,0.357650355,3574,258977,20943277,1787290655,235322,17047624,1366779234,1.15E+11,18561194,1347305148,1.06E+11,8.71E+12,358.4613878,3513.842753,0,41,41
6,42,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/WT_MD/21-2-1_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,21-2-1,0,slice1,7200,27475,1895,3621,1738,3446,1810.436389,3531.051111,7200,5.82E-11,8428620.866,131428426.2,-3.09E-11,2738109.409,-34303541.3,12437979884,15653715.19,-170244279.2,16494940660,-1.82E+11,23.51927155,19983,0.739589351,95.7461473,-1,0.262056415,0.042518324,0.464551236,0.030583985,0.023713209,0.000394978,1.20E-06,1.45E-07,1.61E-07,2301.962437,1042.80646,1170.641787,-380.2929735,-380.2929735,2174.12711,191.9150828,193.4037228,18.35755975,3.852149136,3,129.7971271,129.1700559,nan,nan,0.162589137,0.02987845,nan,0.052818469,-0.00779844,0.033323634,0.301962099,-0.038702702,0.044192978,-0.00576075,0.025606052,0.017720888,-0.006927532,0.010490328,18.58004961,1458.757539,0.36030626,7200,521542,46207240,4699591750,612368,47095836,4292351078,4.48E+11,67736294,5202086750,4.70E+11,4.88E+13,1810.436389,3531.051111,0,42,42
6,43,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/WT_MD/21-2-1_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,21-2-1,0,slice1,11268,57232,291,3952,95,3660,204.5162407,3831.910987,11268,-2.91E-11,18003546.03,-252420271.9,2.76E-10,-2933579.211,664416466.2,1292527451,46948409.72,259356965.7,63003497473,8.45E+11,51.74139726,36190,0.790660543,119.778392,-9,0.196882863,0.019326884,0.511562329,0.054105699,0.091080428,0.008979758,0.000249457,0.002051503,-6.10E-05,4192.646152,1571.63817,1597.758788,260.3460428,260.3460428,4166.525534,259.0025838,300.7607022,17.4642492,3.197222289,2.828427125,175.5358573,158.5755679,nan,nan,0.14179613,-0.018728678,nan,-0.023104903,0.049297318,0.00090344,0.369766199,0.019243356,0.044037651,0.005563544,-0.144057507,-0.013013642,0.027433679,0.004374334,-5.729334649,2706.745525,0.311356728,11268,1234029,153149763,20463327393,1937093,209209564,26349994228,3.63E+12,379955979,40862078416,5.22E+12,7.37E+14,204.5162407,3831.910987,0,43,43
6,44,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/WT_MD/21-2-1_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,21-2-1,0,slice1,2495,8466,734,3904,632,3821,673.6220441,3865.530661,2495,-7.05E-12,1368766.588,17038469.98,-8.97E-12,514981.4136,6108002.917,1009753851,740153.4044,775090.4688,668281927.1,8784714285,6.41906319,5246,0.853149834,56.36251116,0,0.294708245,0.155785972,0.338780967,0.037572717,0.008083426,0.003286597,1.05E-05,0.000371279,-1.33E-05,664.4407033,180.8178105,548.6038427,-206.4053762,-206.4053762,296.6546711,103.1069893,122.7884359,16.2788206,4.54339367,3.605551275,60.48016833,53.7874053,nan,nan,0.2198813,0.054796676,nan,0.082727606,0.01964368,0.065013548,0.118899668,0.002492734,0.043027694,0.011323501,-0.017517559,0.025660024,0.000479188,0.0199312,60.69840289,448.6173157,0.475600457,2495,103847,5691091,367855037,111104,5139357,302405207,20829717609,5687688,283373217,17662330583,1.28E+12,673.6220441,3865.530661,0,44,44
6,45,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/WT_MD/21-2-1_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,21-2-1,0,slice1,3528,11368,564,3906,448,3808,507.1652494,3865.211451,3528,4.86E-11,2109404.66,-6070442.693,-1.25E-11,-567596.2761,9603866.308,-642644167.1,1585026.257,-8577765.876,571041806,-8628920404,8.331228975,7081,0.711165606,67.02230311,-1,0.310344828,0.12003031,0.296818111,0.010093018,0.00510773,0.00059917,-8.06E-07,-4.41E-05,-6.70E-07,700.8056647,346.3686315,597.9038151,160.8832982,160.8832982,449.2704811,105.8909375,116.9016681,17,4.629703263,3.605551275,89.90037563,74.4439259,nan,nan,0.16947387,-0.008211054,nan,-0.045601842,0.012990464,-0.014634734,0.127344241,-0.011602531,0.013004156,-0.003308312,-0.027363769,-0.005319815,0.000749685,-0.001861445,-57.39679315,607.7483041,0.498234713,3528,208735,14459263,1099022365,201842,11374436,769675336,57978007898,13132700,703475692,45845604300,3.37E+12,507.1652494,3865.211451,0,45,45
6,46,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/WT_MD/21-2-1_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,21-2-1,0,slice1,5171,32164,516,4088,329,3916,439.8659834,3995.648617,5171,-5.82E-11,9250548.126,-257879428.7,3.64E-11,1766764.492,-171044425,6357757164,5918014.538,117179686.9,10640209357,90229896786,23.81485659,16930,0.696483325,81.14136852,1,0.160769805,0.041990595,0.567277234,0.032995854,0.217536073,0.00554066,0.00018536,0.000908033,-5.14E-05,1936.345184,997.0453912,1788.928278,-341.6678576,-341.6678576,1144.462297,176.0156895,194.2472651,13.34166406,3.374731781,2.828427125,155.3656777,126.3041023,nan,nan,0.345954028,-0.134115927,nan,0.066073846,-0.088955454,0.045981202,0.221323206,0.0609419,0.076953178,0.009074853,0.075309148,0.026947252,-0.015618066,-0.002773554,66.66160829,1243.987986,0.305434141,5171,573288,72808686,9865269372,411863,47428361,6019814907,8.00E+11,38722333,4691609911,6.06E+11,8.09E+13,439.8659834,3995.648617,0,46,46
6,47,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/WT_MD/21-2-1_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,21-2-1,0,slice1,3435,8550,897,4090,807,3995,848.8497817,4030.637263,3435,1.56E-11,1848998.487,9376564.098,-6.00E-12,-1078731.172,-4248838.991,-1079582310,1900074.03,-16420132.55,1244958985,-6212368566,5.797335623,5783,0.854788824,66.13303135,0,0.401754386,0.172493032,0.317738878,0.033452056,0.011857161,0.002017181,9.66E-06,0.000170764,-2.02E-06,859.8456122,231.5874352,538.2819468,314.0410981,314.0410981,553.1511005,117.2924968,116.7261753,17,5.222042612,4.123105626,72.40702802,60.87198833,nan,nan,0.156705079,0.013558975,nan,-0.0914239,-0.006144031,-0.0266364,0.161033799,-0.023744324,0.030716719,-0.002615252,0.049886917,-0.035614512,0.006571497,-0.009049322,-44.32191945,500.2447327,0.593982362,3435,143754,7865072,493288476,122414,4044268,185751476,10298547124,6262574,168781168,6448991468,3.11E+11,848.8497817,4030.637263,0,47,47
6,48,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/WT_MD/21-2-1_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,21-2-1,0,slice1,5443,24948,772,4131,610,3977,683.0755098,4061.132464,5443,-2.91E-11,8435457.965,116379684.7,4.00E-11,-839413.4426,36120624.72,-143842727.2,7116319.494,-141303284.6,11701060527,-4.49E+11,28.91404162,18658,0.491356995,83.24808011,0,0.218173802,0.034585272,0.524932382,0.005193699,0.068690462,0.000571202,3.46E-06,-4.10E-05,-9.20E-07,1624.734706,1232.47225,1549.780997,154.2188945,154.2188945,1307.425959,161.2319921,177.7920133,15.23154621,3.201167758,2.236067977,147.3364692,140.4263366,nan,nan,0.284729193,0.053245308,nan,-0.028333436,0.016525683,-0.000892017,0.240203189,-0.064648198,0.072562163,-0.037769591,-0.037529869,-0.006235428,-0.006793752,0.003870463,-64.07924849,1406.301695,0.291724729,5443,397750,37501242,4089652846,457933,32624274,3068511376,3.38E+11,45643351,3052864018,2.80E+11,3.06E+13,683.0755098,4061.132464,0,48,48
