ImageNumber,ObjectNumber,Metadata_FileLocation,Metadata_Frame,Metadata_Mouse,Metadata_Series,Metadata_Slice,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_CentralMoment_0_0,AreaShape_CentralMoment_0_1,AreaShape_CentralMoment_0_2,AreaShape_CentralMoment_0_3,AreaShape_CentralMoment_1_0,AreaShape_CentralMoment_1_1,AreaShape_CentralMoment_1_2,AreaShape_CentralMoment_1_3,AreaShape_CentralMoment_2_0,AreaShape_CentralMoment_2_1,AreaShape_CentralMoment_2_2,AreaShape_CentralMoment_2_3,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_HuMoment_0,AreaShape_HuMoment_1,AreaShape_HuMoment_2,AreaShape_HuMoment_3,AreaShape_HuMoment_4,AreaShape_HuMoment_5,AreaShape_HuMoment_6,AreaShape_InertiaTensorEigenvalues_0,AreaShape_InertiaTensorEigenvalues_1,AreaShape_InertiaTensor_0_0,AreaShape_InertiaTensor_0_1,AreaShape_InertiaTensor_1_0,AreaShape_InertiaTensor_1_1,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_NormalizedMoment_0_0,AreaShape_NormalizedMoment_0_1,AreaShape_NormalizedMoment_0_2,AreaShape_NormalizedMoment_0_3,AreaShape_NormalizedMoment_1_0,AreaShape_NormalizedMoment_1_1,AreaShape_NormalizedMoment_1_2,AreaShape_NormalizedMoment_1_3,AreaShape_NormalizedMoment_2_0,AreaShape_NormalizedMoment_2_1,AreaShape_NormalizedMoment_2_2,AreaShape_NormalizedMoment_2_3,AreaShape_NormalizedMoment_3_0,AreaShape_NormalizedMoment_3_1,AreaShape_NormalizedMoment_3_2,AreaShape_NormalizedMoment_3_3,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_SpatialMoment_0_0,AreaShape_SpatialMoment_0_1,AreaShape_SpatialMoment_0_2,AreaShape_SpatialMoment_0_3,AreaShape_SpatialMoment_1_0,AreaShape_SpatialMoment_1_1,AreaShape_SpatialMoment_1_2,AreaShape_SpatialMoment_1_3,AreaShape_SpatialMoment_2_0,AreaShape_SpatialMoment_2_1,AreaShape_SpatialMoment_2_2,AreaShape_SpatialMoment_2_3,Children_Microglia_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,ObjectSkeleton_NumberBranchEnds_MorphologicalSkeleton,ObjectSkeleton_NumberNonTrunkBranches_MorphologicalSkeleton,ObjectSkeleton_NumberTrunks_MorphologicalSkeleton,ObjectSkeleton_TotalObjectSkeletonLength_MorphologicalSkeleton,Group
9,76,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/WT/11-6-6_20x_6x2tile_2umstep_slice3-Airy-Only.tif,0,11/6/2006,0,slice3,1257,2592,264,4859,210,4811,234.0127287,4835.613365,1257,5.26E-12,274061.7963,1080086.63,-5.72E-13,142877.1862,501459.6317,52931256.14,149052.0955,-25122.03664,39921389.96,186558818.5,1.878707535,1510,0.921246383,40.00577593,1,0.484953704,0.532280827,0.267785298,0.038966893,0.001536003,0.000360804,2.18E-07,4.45E-05,-1.57E-07,292.3691721,44.2369471,218.0284776,-113.6652237,-113.6652237,118.5776416,68.39522464,64.44377394,13,4.757335848,4.242640687,27.79317652,26.60434464,nan,nan,0.173451454,0.019280593,nan,0.090425794,0.008951541,0.026650562,0.094333844,-0.000448453,0.020100174,0.002649368,-0.00647064,0.01805368,0.000818743,0.005295232,56.8140294,172.2670273,0.832450331,1257,30184,998862,38227432,30939,885807,31948557,1277114973,910565,28873405,1092254667,44792080471,1,234.0127287,4835.613365,0,76,63,77,6,2110.192166,WT
9,77,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/WT/11-6-6_20x_6x2tile_2umstep_slice3-Airy-Only.tif,0,11/6/2006,0,slice3,884,1628,653,4964,609,4927,630.3065611,4946.230769,884,-2.34E-13,109309.9219,2891.026364,2.51E-12,-55730.53846,-111354.9097,-13532120.52,65190.92308,117586.3549,10508854.08,43325372.24,1.477763357,934,0.902460934,33.54912454,1,0.542997543,0.676698333,0.223302201,0.023531491,0.000360191,8.49E-05,1.35E-08,9.51E-06,-6.23E-09,166.5022741,30.89687183,123.6537579,63.04359554,63.04359554,73.7453881,51.61430408,50.80354318,11.18033989,4.659880267,4.242640687,21.91346618,22.23398186,nan,nan,0.139879817,0.000124429,nan,-0.071316285,-0.004792683,-0.019588855,0.083422385,0.005060883,0.015212429,0.002109402,-0.002826377,-0.012985245,-0.002007848,-0.003542599,-55.79743063,128.1248917,0.946466809,884,18835,510619,15540463,17000,306481,7333389,202305265,392114,6328705,138329305,3539510101,1,630.3065611,4946.230769,0,77,1,0,1,3.828427136,WT
9,78,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/WT/11-6-6_20x_6x2tile_2umstep_slice3-Airy-Only.tif,0,11/6/2006,0,slice3,759,1140,528,4980,490,4950,508.5467721,4965.602108,759,-3.34E-13,66084.08959,-1577.871358,3.23E-13,-19777.87484,58075.59303,-3441434.418,38951.83663,-31475.39315,2784049.902,-6734893.907,1.249195146,804,0.791837144,31.08679486,1,0.665789474,0.800515438,0.182328399,0.006932899,0.000192135,8.62E-06,3.31E-10,5.95E-07,-1.17E-10,100.7923275,37.59492709,87.06731171,26.05780611,26.05780611,51.31994286,40.15815284,39.96248241,11.66190379,4.798349419,4.242640687,25.04396135,24.52588089,nan,nan,0.114713191,-9.94E-05,nan,-0.03433176,0.003659226,-0.007870715,0.067615208,-0.001983201,0.006367247,-0.000559094,-0.001588577,-0.004426119,0.000519452,-0.000859566,-62.22358803,109.1543289,0.944029851,759,14077,327167,8517607,11842,199853,4428939,112272791,223712,3500507,73575965,1794172637,1,508.5467721,4965.602108,0,78,19,24,6,769.4650902,WT
9,79,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/WT/11-6-6_20x_6x2tile_2umstep_slice3-Airy-Only.tif,0,11/6/2006,0,slice3,824,1457,46,5118,15,5071,29.09223301,5093.872573,824,4.55E-13,35178.99029,15079.36101,5.29E-13,-24413.31553,-20143.91995,-2539540.172,106129.6201,23163.27153,3616130.503,2548441.66,1.510277931,901,0.870275959,32.39057556,1,0.565545642,0.662129784,0.208120185,0.016090882,2.70E-05,3.91E-06,-3.28E-11,-4.67E-07,2.33E-11,138.0076498,33.48338225,42.69294938,29.62781011,29.62781011,128.7980827,46.99066287,46.17358552,10.77032961,4.508685844,4.123105626,21.89006352,23.14593087,nan,nan,0.051811832,0.000773686,nan,-0.03595608,-0.001033537,-0.004539139,0.156308353,0.001188453,0.006463421,0.000158683,0.001287314,-0.008554706,-9.83E-05,-0.000830418,-17.26743797,125.0538239,0.914539401,824,11612,198818,3808370,18847,241183,3839259,69171265,537209,6476847,96960279,1638123321,0,29.09223301,5093.872573,0,79,0,0,0,0,WT
9,80,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/WT/11-6-6_20x_6x2tile_2umstep_slice3-Airy-Only.tif,0,11/6/2006,0,slice3,1220,1748,354,5110,308,5072,329.2352459,5089.472951,1220,-2.43E-12,170091.4844,239583.1434,-2.09E-12,-36704.73689,136725.4393,-10723055.07,97712.10738,-224206.4989,12802299.5,-35276671.03,1.405881069,1338,0.745589714,39.41258992,1,0.697940503,0.711297721,0.179927165,0.004797345,0.000358503,1.17E-05,-4.55E-10,-6.59E-07,-6.04E-10,152.0059222,67.50521866,139.4192495,30.08584991,30.08584991,80.09189129,49.31627272,50.7740091,14.56021978,5.765929571,5.049509757,33.23848192,32.86462381,nan,nan,0.114278073,0.004608469,nan,-0.024660533,0.002629964,-0.00590526,0.065649091,-0.004312694,0.007050315,-0.000556196,0.00077501,-0.003665223,0.000686636,-0.000803334,-67.29758667,146.8111832,0.91180867,1220,25907,720233,22757777,21317,415967,11162453,345978233,470183,8477565,217533975,6555140595,1,329.2352459,5089.472951,0,80,46,45,9,1462.734219,WT
10,1,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/WT/13-8-4_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,13-8-4,0,slice1,837,1209,119,197,88,158,105.1971326,178.827957,837,-6.29E-13,49118.47312,-93641.97148,2.98E-12,1909.387097,35336.28107,220400.8538,71781.22581,102074.6888,2592949.929,8023229.616,1.543060212,903,0.565207664,32.64508384,1,0.692307692,0.648062851,0.172573578,0.001076175,0.000483356,7.62E-06,3.65E-10,2.23E-07,-2.83E-10,85.95097957,58.49310517,58.68395833,-2.281227117,-2.281227117,85.76012641,37.08390046,38.83297568,11.3137085,4.457516967,4.123105626,30,30.59231411,nan,nan,0.070112256,-0.004620159,nan,0.00272548,0.001743441,0.000375869,0.102461322,0.005036217,0.00442199,0.000472944,-0.004471718,0.001192252,0.000391176,0.000107428,4.782370872,127.3969696,0.926910299,837,14394,296654,6697350,17433,301707,6279705,143229621,434875,7660215,160229633,3658457601,1,105.1971326,178.827957,0,1,43,54,7,1256.79814,WT
10,2,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/WT/13-8-4_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,13-8-4,0,slice1,738,1040,277,430,251,390,263.8197832,408.9688347,738,3.66E-13,27477.03117,-17127.21234,9.38E-13,1937.855014,-244.454697,301920.1371,71330.2832,50587.83243,1763937.399,2197459.931,1.251666552,785,0.785142817,30.65372382,1,0.709615385,0.798934827,0.181416328,0.00653367,0.000130803,5.72E-06,-9.33E-11,-3.88E-07,1.26E-10,96.76930834,37.11594148,37.23174955,-2.625819802,-2.625819802,96.65350027,39.34855694,39.05124838,11.3137085,4.724008655,4.242640687,24.01893907,24.36914163,nan,nan,0.050449525,-0.001157566,nan,0.003558021,-1.65E-05,0.000751144,0.130966803,0.003419048,0.00438848,0.000201244,-0.000761691,-0.000180588,-0.000118214,4.94E-06,2.525312796,107.7401154,0.940127389,738,9461,148765,2594507,13999,181402,2871340,50462734,336875,4442770,70187712,1226155918,1,263.8197832,408.9688347,0,2,10,5,5,216.1370881,WT
10,3,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/WT/13-8-4_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,13-8-4,0,slice1,2138,4810,1034,598,969,524,1006.361085,564.6276894,2138,1.51E-12,522131.2423,-4177452.132,-3.53E-11,-422524.5762,2427677.445,-232344122,744585.6408,1246285.457,235141685.1,-1973276571,2.328286277,2816,0.903581596,52.17457376,1,0.444490644,0.429500448,0.277117631,0.036545316,0.005229031,0.000445518,-6.13E-07,-7.86E-05,-2.94E-07,500.5976515,91.87984291,244.2147999,197.626088,197.626088,348.2626945,89.49615871,87.20665112,16.4924225,5.610596887,5,41.15166412,38.34158952,nan,nan,0.114225818,-0.019764791,nan,-0.092435027,0.011486077,-0.023774346,0.162891812,0.005896554,0.024060604,-0.004366777,-0.027398011,-0.028254842,0.001293131,-0.006834448,-37.6259028,250.1076477,0.759232955,2138,79878,3506460,165842478,86862,2822734,113315092,5008210906,4273588,126579776,4787262990,2.02E+11,1,1006.361085,564.6276894,0,3,26,27,9,772.9087414,WT
10,4,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/WT/13-8-4_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,13-8-4,0,slice1,948,1452,1107,850,1063,817,1085.593882,833.2658228,948,-1.06E-12,121934.6445,-189405.8868,3.69E-13,-46325.65823,90330.04975,-12332768.43,61069.01266,25997.26978,8840576.53,-15176989.85,1.449280662,1017,0.868607809,34.74235295,1,0.652892562,0.689997477,0.203630625,0.015215259,0.000235741,3.61E-05,3.16E-09,3.65E-06,1.06E-09,154.9888873,38.05294517,128.6230427,48.86672809,48.86672809,64.41878972,49.79781317,50.80354318,12.52996409,4.95021259,4.472135955,25.48518874,24.67482771,nan,nan,0.135678315,-0.006844987,nan,-0.051547182,0.00326446,-0.014475566,0.06795231,0.000939522,0.010376612,-0.000578571,-0.002137941,-0.007380989,0.00012306,-0.001972934,-61.65109994,131.3969696,0.932153392,948,21419,605873,19009571,15420,302072,7852000,232050812,311888,5565708,136328484,3847723056,1,1085.593882,833.2658228,0,4,4,1,5,68.69848591,WT
10,5,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/WT/13-8-4_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,13-8-4,0,slice1,1402,1850,523,894,486,844,504.8815977,867.2617689,1402,2.48E-12,109740.3452,-93801.15078,9.66E-13,3651.453638,-324415.0737,917472.696,244122.9308,242640.413,16016103.14,22307805.04,1.341579853,1488,0.742333764,42.2502289,1,0.757837838,0.745389846,0.180027755,0.00468786,0.000577294,1.74E-05,8.85E-10,6.83E-07,-1.50E-09,174.1954888,78.20342425,78.27414067,-2.604460512,-2.604460512,174.1247723,52.79325544,51.623638,17,6.320928801,5.830951895,36,35.37307999,nan,nan,0.055830343,-0.001274495,nan,0.001857675,-0.004407892,0.000332927,0.124197413,0.003296804,0.005811829,0.000216192,0.008051645,0.0003298,-0.000475144,4.30E-05,1.555315301,153.7401154,0.942204301,1402,26472,609574,15560076,32613,619437,13993245,348401331,1002759,19346211,433381143,10621532793,1,504.8815977,867.2617689,0,5,29,33,6,972.7026821,WT
