ImageNumber,ObjectNumber,Metadata_FileLocation,Metadata_Frame,Metadata_Mouse,Metadata_Series,Metadata_Slice,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_CentralMoment_0_0,AreaShape_CentralMoment_0_1,AreaShape_CentralMoment_0_2,AreaShape_CentralMoment_0_3,AreaShape_CentralMoment_1_0,AreaShape_CentralMoment_1_1,AreaShape_CentralMoment_1_2,AreaShape_CentralMoment_1_3,AreaShape_CentralMoment_2_0,AreaShape_CentralMoment_2_1,AreaShape_CentralMoment_2_2,AreaShape_CentralMoment_2_3,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_HuMoment_0,AreaShape_HuMoment_1,AreaShape_HuMoment_2,AreaShape_HuMoment_3,AreaShape_HuMoment_4,AreaShape_HuMoment_5,AreaShape_HuMoment_6,AreaShape_InertiaTensorEigenvalues_0,AreaShape_InertiaTensorEigenvalues_1,AreaShape_InertiaTensor_0_0,AreaShape_InertiaTensor_0_1,AreaShape_InertiaTensor_1_0,AreaShape_InertiaTensor_1_1,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_NormalizedMoment_0_0,AreaShape_NormalizedMoment_0_1,AreaShape_NormalizedMoment_0_2,AreaShape_NormalizedMoment_0_3,AreaShape_NormalizedMoment_1_0,AreaShape_NormalizedMoment_1_1,AreaShape_NormalizedMoment_1_2,AreaShape_NormalizedMoment_1_3,AreaShape_NormalizedMoment_2_0,AreaShape_NormalizedMoment_2_1,AreaShape_NormalizedMoment_2_2,AreaShape_NormalizedMoment_2_3,AreaShape_NormalizedMoment_3_0,AreaShape_NormalizedMoment_3_1,AreaShape_NormalizedMoment_3_2,AreaShape_NormalizedMoment_3_3,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_SpatialMoment_0_0,AreaShape_SpatialMoment_0_1,AreaShape_SpatialMoment_0_2,AreaShape_SpatialMoment_0_3,AreaShape_SpatialMoment_1_0,AreaShape_SpatialMoment_1_1,AreaShape_SpatialMoment_1_2,AreaShape_SpatialMoment_1_3,AreaShape_SpatialMoment_2_0,AreaShape_SpatialMoment_2_1,AreaShape_SpatialMoment_2_2,AreaShape_SpatialMoment_2_3,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_Iba1_nuc,Location_Center_Z
1,11,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/WT/10-5-5_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,10/5/2005,0,slice1,2686,18128,1231,1152,1128,976,1192.911765,1071.246091,2686,5.57E-12,1195316.088,-24263721.96,4.23E-11,-312551.6765,38137214.33,-1803103640,5643962.334,-99945756.76,4425612011,-1.79E+11,12.37130221,10464,0.890441976,58.4800942,1,0.148168579,0.080832234,0.947978019,0.387724386,0.913106242,0.15044369,-0.033004623,-0.054849738,-0.04494281,2109.387253,436.8817056,445.0171587,116.3632451,116.3632451,2101.2518,183.7122643,178.8686669,9.848857802,3.086840128,2.828427125,91.51328967,83.6068615,nan,nan,0.165680253,-0.064892185,nan,-0.043322131,0.101996189,-0.093047062,0.782297766,-0.267300235,0.22837855,-0.178317094,-0.302225774,-0.052344843,0.149100627,-0.189744745,-3.999285752,646.1980515,0.256689602,2686,174353,12512877,943149359,255831,16293890,1189363272,91504003190,30010865,1788573800,1.28E+11,9.84E+12,1192.911765,1071.246091,0,11,11,0
1,12,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/WT/10-5-5_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,10/5/2005,0,slice1,4389,16368,1374,1132,1250,1000,1302.090453,1066.074049,4389,-2.18E-11,4097789.09,77993088.81,-1.14E-12,-863304.3974,-21460098.21,-1321845570,3475066.934,-15756095.58,3452752451,52123733707,15.7001005,12658,0.624644242,74.75458756,1,0.268145161,0.06369386,0.393123077,0.009078908,0.011865178,0.002779429,1.20E-05,0.000239007,-1.05E-05,1071.807808,653.609377,933.6498268,196.6972881,196.6972881,791.767358,130.9539038,149.2414152,17.11724277,4.072006503,3,119.1626123,102.2631411,nan,nan,0.212724955,0.061114205,nan,-0.044815969,-0.016815809,-0.015634499,0.180398122,-0.012346238,0.040838398,0.009305849,-0.00321203,-0.019631264,-0.005032103,-0.006192311,-54.91622331,930.54834,0.346737241,4389,228625,16006969,1338714745,289999,14242875,946245317,76751348853,22636475,1049304117,66402182635,5.25E+12,1302.090453,1066.074049,0,12,12,0
1,13,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/WT/10-5-5_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,10/5/2005,0,slice1,8424,31482,545,1215,386,1017,454.715812,1120.637227,8424,-5.82E-11,10943559.65,143735775.5,2.91E-11,8891737.521,172465511.9,23171567709,19128479.37,69212243.12,30014908981,7.63E+11,22.16712722,21112,0.888035315,103.5652931,-2,0.267581475,0.045111845,0.42376605,0.076103205,0.010193979,0.001098427,1.42E-06,-3.09E-05,-3.39E-06,2946.85901,622.9461922,1299.093026,-1055.524397,-1055.524397,2270.712175,217.1399184,237.1708245,18.02775638,4.401999315,3.16227766,123.7067339,99.83556017,nan,nan,0.154213322,0.022068305,nan,0.125299667,0.026479292,0.038761479,0.269552727,0.010626421,0.050209044,0.013911658,-0.021049559,0.077089464,0.01250939,0.023219631,32.64277415,1531.85909,0.399014778,8424,578862,50720532,5133029490,873040,68883390,6651006726,7.17E+11,109607924,9444039778,9.64E+11,1.08E+14,454.715812,1120.637227,0,13,13,0
1,14,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/WT/10-5-5_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,10/5/2005,0,slice1,11197,58156,1674,1251,1457,983,1574.615075,1124.018576,11197,8.73E-11,21225292.98,-39557495.42,4.37E-11,-2157229.936,-120460455.9,-13870960737,37674312.14,-267396400.3,60748760599,-1.77E+12,39.55808709,40483,0.669381271,119.4004321,0,0.192533874,0.025279281,0.469795688,0.018397921,0.003327099,0.002221419,6.03E-06,8.56E-05,-3.07E-07,3389.525739,1870.776584,1895.6232,192.6614214,192.6614214,3364.679123,232.8785345,267.6060537,17.08800749,3.793481883,3,195.6069518,173.0098996,nan,nan,0.169297419,-0.002981773,nan,-0.017206522,-0.009080093,-0.009881014,0.300498269,-0.020155861,0.043274533,-0.011924088,-0.031981679,-0.005051548,-0.006308638,0.000668029,-7.348599417,2359.247004,0.276585233,11197,1316936,176116820,25667264450,1578985,183555210,24207837258,3.47E+12,260340529,29744155576,3.84E+12,5.39E+14,1574.615075,1124.018576,0,14,14,0
1,15,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/WT/10-5-5_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,10/5/2005,0,slice1,4775,25146,738,1191,611,993,679.052356,1105.745759,4775,1.20E-11,6285982.911,-71317055.84,-6.74E-11,-3986044.44,3790107.741,-7855887651,9452383.352,126569936.1,14885222755,1.31E+11,21.13878512,15975,0.839956838,77.97255175,-1,0.189891036,0.047306408,0.6902603,0.141536355,0.144360496,0.058927212,0.00496627,0.013732381,-0.002207981,2546.20543,749.7875044,1316.436212,834.7737047,834.7737047,1979.556723,201.8397555,223.7073982,15,3.423735836,2.828427125,111.1351509,109.5289919,nan,nan,0.275693447,-0.045264733,nan,-0.174821718,0.002405571,-0.072156446,0.414566853,0.08033358,0.136720995,0.017466913,-0.242608377,-0.253421649,-0.073596944,-0.099356654,-34.16886358,1126.241774,0.298904538,4775,324950,28399596,2716894256,538361,32650690,2663204688,2.44E+11,70150303,4001644118,3.15E+11,2.84E+13,679.052356,1105.745759,0,15,15,0
1,16,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/WT/10-5-5_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,10/5/2005,0,slice1,3919,11514,1154,1211,1040,1110,1096.263843,1166.654249,3919,-1.33E-11,2242077.187,1603298.137,-1.95E-11,1292845.507,4638767.801,1648795414,1823400.507,1077677.727,1320152495,13926403314,5.906505559,6810,0.885253307,70.63869885,-1,0.340368247,0.169304844,0.264704336,0.029086532,0.000180168,4.36E-05,-5.23E-10,4.85E-06,3.83E-09,852.8764469,184.4998464,572.104411,-329.8916833,-329.8916833,465.2718823,116.8161939,134.4693274,20.51828453,6.307957013,5,66.21062076,54.33228821,nan,nan,0.145982243,0.001667539,nan,0.084177516,0.004824635,0.027393087,0.118722093,0.001120858,0.021933014,0.003695945,0.0011587,0.020966175,0.001175333,0.007331919,49.59877051,539.3340905,0.575477239,3919,220498,14648142,1078059814,222028,13784994,979999158,75786421572,14402230,957892864,71239647756,5.70E+12,1096.263843,1166.654249,0,16,16,0
1,17,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/WT/10-5-5_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,10/5/2005,0,slice1,7697,38200,1153,1363,962,1163,1057.107444,1279.850981,7697,2.91E-11,17588456.14,89202024.99,4.37E-11,6879964.239,-145435748,24847382767,10187178.08,-150092871.1,22977202832,-4.30E+11,25.1812563,23161,0.84853459,98.99557958,-2,0.201492147,0.039712077,0.468836064,0.069551695,0.014744859,0.002528836,2.46E-06,-1.55E-05,1.52E-05,2819.267231,789.3639522,2285.105384,-893.8501025,-893.8501025,1323.525799,212.3870893,227.4818674,18.97366596,4.262692225,3,133.6183029,112.3824863,nan,nan,0.296882602,0.017162122,nan,0.116129674,-0.027981272,0.054489923,0.171953462,-0.028877284,0.050388647,-0.010758198,-0.020922628,0.05375158,-0.018564514,0.02221034,59.13760122,1560.645886,0.332325893,7697,732042,87211100,11729213106,899402,92419790,11353938466,1.54E+12,115283184,12422057288,1.55E+12,2.11E+14,1057.107444,1279.850981,0,17,17,0
1,18,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/WT/10-5-5_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,10/5/2005,0,slice1,10496,49496,802,1566,618,1297,695.276391,1436.873476,10496,1.46E-10,16345941.19,218785062,-5.82E-11,5518658.047,-74987404.21,4295911095,31921121.98,-341950012.8,32059776181,-1.08E+11,27.82534326,33339,0.752873876,115.6024319,-4,0.21205754,0.035938461,0.438130241,0.030025713,0.015814474,0.007691725,6.51E-05,0.001244059,5.43E-05,3208.677234,1389.937778,1557.34958,-525.7867804,-525.7867804,3041.265432,226.5807488,274.5541841,21,4.364238637,3.16227766,177.8262854,149.1274772,nan,nan,0.148375532,0.019384657,nan,0.050094015,-0.006643987,0.003715214,0.28975471,-0.03029724,0.027726115,-0.000911007,-0.080376931,0.059006733,-0.010381193,0.006766898,17.66160292,1915.742387,0.314826479,10496,811093,79024281,8851806985,1468112,118969055,11831337391,1.32E+12,237271050,19537328185,1.93E+12,2.13E+14,695.276391,1436.873476,0,18,18,0
1,19,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/WT/10-5-5_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,10/5/2005,0,slice1,5168,27864,1051,1506,922,1290,987.2836687,1421.169118,5168,5.82E-11,4845720.142,12353766.19,7.28E-11,2415567.074,-176640655.8,5517555387,10400588.19,-262248430.6,18082724147,-6.78E+11,18.57158984,16753,0.807003319,81.11782768,-1,0.185472294,0.053845686,0.570846955,0.075976722,0.174895082,0.123884194,0.015709396,0.034117577,0.009259624,2187.319065,762.8179959,937.6393463,-467.4084895,-467.4084895,2012.497715,187.0751321,222.9484245,17.2626765,4.177664522,3,113.2269339,110.4766398,nan,nan,0.181431762,0.006434179,nan,0.090442819,-0.091999275,0.039974145,0.389415193,-0.136586141,0.131007555,-0.068340836,-0.23502467,0.211865947,-0.162759365,0.107064531,20.50693405,1098.223484,0.308482063,5168,337386,26871516,2399317692,677882,46670191,3663466549,3.17E+11,99317772,6855275699,5.27E+11,4.42E+13,987.2836687,1421.169118,0,19,19,0
1,20,file:///J:/Ellen/adult_mg_morphology_analysis/mg_tiff_processed/WT/10-5-5_20x_6x2tile_2umstep_slice1-Airy-Only.tif,0,10/5/2005,0,slice1,9751,35420,442,1591,288,1361,357.3009948,1478.514204,9751,5.82E-11,10518939.58,101563235.7,1.89E-10,6911187.812,-328058613.4,9631833840,36445369.78,-327619455,45006655866,-5.44E+11,21.48999512,25095,0.877317301,111.424229,-8,0.275296443,0.046533282,0.493934802,0.095484713,0.017936564,0.005758302,2.48E-05,0.001757765,5.30E-05,3914.737924,901.6203327,1078.754956,-708.7670816,-708.7670816,3737.6033,250.2714662,229.0785891,19.10497317,4.742342845,3.605551275,147.0146857,120.1079736,nan,nan,0.110630187,0.01081717,nan,0.072686605,-0.034940455,0.010388707,0.383304615,-0.034893681,0.048543298,-0.005945458,-0.037022201,0.058619838,-0.022248675,0.011468382,14.03189547,1622.735244,0.388563459,9751,675754,57349364,5533877164,1145881,86321881,7369210609,6.91E+11,171102663,13154290763,1.11E+12,1.02E+14,357.3009948,1478.514204,0,20,20,0
