ImageNumber,ObjectNumber,Metadata_FileLocation,Metadata_Frame,Metadata_Mouse,Group,Metadata_Series,Metadata_Slice,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_CentralMoment_0_0,AreaShape_CentralMoment_0_1,AreaShape_CentralMoment_0_2,AreaShape_CentralMoment_0_3,AreaShape_CentralMoment_1_0,AreaShape_CentralMoment_1_1,AreaShape_CentralMoment_1_2,AreaShape_CentralMoment_1_3,AreaShape_CentralMoment_2_0,AreaShape_CentralMoment_2_1,AreaShape_CentralMoment_2_2,AreaShape_CentralMoment_2_3,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_HuMoment_0,AreaShape_HuMoment_1,AreaShape_HuMoment_2,AreaShape_HuMoment_3,AreaShape_HuMoment_4,AreaShape_HuMoment_5,AreaShape_HuMoment_6,AreaShape_InertiaTensorEigenvalues_0,AreaShape_InertiaTensorEigenvalues_1,AreaShape_InertiaTensor_0_0,AreaShape_InertiaTensor_0_1,AreaShape_InertiaTensor_1_0,AreaShape_InertiaTensor_1_1,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_NormalizedMoment_0_0,AreaShape_NormalizedMoment_0_1,AreaShape_NormalizedMoment_0_2,AreaShape_NormalizedMoment_0_3,AreaShape_NormalizedMoment_1_0,AreaShape_NormalizedMoment_1_1,AreaShape_NormalizedMoment_1_2,AreaShape_NormalizedMoment_1_3,AreaShape_NormalizedMoment_2_0,AreaShape_NormalizedMoment_2_1,AreaShape_NormalizedMoment_2_2,AreaShape_NormalizedMoment_2_3,AreaShape_NormalizedMoment_3_0,AreaShape_NormalizedMoment_3_1,AreaShape_NormalizedMoment_3_2,AreaShape_NormalizedMoment_3_3,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_SpatialMoment_0_0,AreaShape_SpatialMoment_0_1,AreaShape_SpatialMoment_0_2,AreaShape_SpatialMoment_0_3,AreaShape_SpatialMoment_1_0,AreaShape_SpatialMoment_1_1,AreaShape_SpatialMoment_1_2,AreaShape_SpatialMoment_1_3,AreaShape_SpatialMoment_2_0,AreaShape_SpatialMoment_2_1,AreaShape_SpatialMoment_2_2,AreaShape_SpatialMoment_2_3,Children_FilteredNuclei_Count,Children_Microglia_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,ObjectSkeleton_NumberBranchEnds_MorphologicalSkeleton,ObjectSkeleton_NumberNonTrunkBranches_MorphologicalSkeleton,ObjectSkeleton_NumberTrunks_MorphologicalSkeleton,ObjectSkeleton_TotalObjectSkeletonLength_MorphologicalSkeleton
24,60,file:///J:/Ellen/juv_mg_morphology_analysis/juv_tiff_processed/175-7-1_slice1.tif,0,175-7-1,TdT,0,slice1.tif,1425,2400,110,2594,60,2546,84.09894737,2567.935439,1425,3.89E-12,222997.0484,269908.7062,3.69E-12,-112437.8968,477033.7712,-31004452.8,192432.0604,-618286.5305,29367793.92,-171882656.1,1.430038119,1603,0.840582511,42.59537946,1,0.59375,0.699282059,0.204581894,0.012490388,0.000999415,0.000114576,2.82E-08,8.65E-06,-2.66E-08,225.3938892,66.13530991,156.4891568,78.90378726,78.90378726,135.0400424,60.0524956,56.85068161,15.23154621,5.897849742,5.385164807,35.63023095,32.52944756,nan,nan,0.109816952,0.003521111,nan,-0.055371079,0.006223174,-0.010714687,0.094764942,-0.008065896,0.010149081,-0.001573548,0.003468103,-0.010553113,0.001820372,-0.001859161,-48.8700888,160.0243866,0.888958203,1425,34341,1050579,36335745,31258,640847,18102675,604626035,878090,15610009,400004385,12609349597,1,1,84.09894737,2567.935439,0,60,17,11,6,325.0782147
24,61,file:///J:/Ellen/juv_mg_morphology_analysis/juv_tiff_processed/175-7-1_slice1.tif,0,175-7-1,TdT,0,slice1.tif,1556,3528,1499,2654,1443,2591,1470.661311,2620.032134,1556,4.75E-12,292520.5109,148613.8429,4.22E-12,-272811.0656,483998.3206,-98904231.5,392990.3933,-1005999.109,106453988.6,-514926784,1.779824154,1731,0.945838316,44.51023176,1,0.441043084,0.561853258,0.283136059,0.052508185,0.001106957,0.000387396,2.47E-07,8.03E-05,-5.85E-08,398.5559441,42.00376295,187.995187,175.3284483,175.3284483,252.5645201,79.85546385,74.65252842,13,5.341587963,5,27.427554,25.92412404,nan,nan,0.120819529,0.001556092,nan,-0.112678951,0.005067805,-0.026253433,0.16231653,-0.010533522,0.028257463,-0.003465069,0.012447946,-0.034883387,0.00509592,-0.008507957,-39.78326608,186.5512986,0.898902369,1556,43041,1483091,57355857,45174,976761,28448671,980200131,1704488,30301799,753301405,22898841053,1,1,1470.661311,2620.032134,0,61,14,5,9,383.9604653
24,62,file:///J:/Ellen/juv_mg_morphology_analysis/juv_tiff_processed/175-7-1_slice1.tif,0,175-7-1,TdT,0,slice1.tif,729,988,244,2686,218,2648,230.21262,2666.226337,729,-8.01E-13,27354.0439,6363.940182,1.17E-13,-1742.082305,-9744.900529,-214269.9842,66597.65432,-12500.3386,1589651.562,-656821.9391,1.195911803,767,0.768698381,30.46623751,1,0.737854251,0.836182064,0.176786695,0.005495885,2.39E-05,1.39E-06,7.24E-12,8.17E-08,3.40E-12,91.46068059,37.41682039,37.52269396,2.389687661,2.389687661,91.35480702,38.25403102,37.33630941,12.08304597,4.839354706,4.472135955,24.80770079,24.467716,nan,nan,0.051471459,0.000443514,nan,-0.003278035,-0.000679139,-0.000553068,0.125315236,-0.00087117,0.004103169,-6.28E-05,0.001777272,-0.000135151,-9.86E-05,-3.63E-05,-2.53679357,104.6690476,0.950456323,729,8903,136083,2336423,13287,160527,2427999,41233647,308771,3694899,54517611,900216759,1,1,230.21262,2666.226337,0,62,5,2,3,91.0121944
24,63,file:///J:/Ellen/juv_mg_morphology_analysis/juv_tiff_processed/175-7-1_slice1.tif,0,175-7-1,TdT,0,slice1.tif,1089,1786,1179,2699,1132,2661,1153.198347,2678.889807,1089,3.69E-13,163965.157,413457.4584,-1.42E-14,-59569.19835,-334413.7367,-16835448.3,84028.77686,59661.31441,12887830.54,65087349.24,1.659779148,1207,0.856150554,37.23651251,1,0.609742441,0.602489796,0.209115054,0.014635706,0.000850513,0.000177945,6.91E-08,2.14E-05,3.78E-09,179.7357333,47.99056043,150.5648825,54.70082493,54.70082493,77.16141126,53.62622244,50.80354318,13.92838828,5.012365435,4.472135955,28.41138674,27.71008782,nan,nan,0.138259764,0.010564796,nan,-0.050230326,-0.008545046,-0.013035901,0.07085529,0.001524485,0.00997921,0.001527211,0.002906361,-0.007602108,-0.000964131,-0.001763279,-61.92989633,150.7106781,0.902236951,1089,23085,653329,21214533,19482,353417,8827979,261115583,432558,7097813,159944151,4318574543,1,1,1153.198347,2678.889807,0,63,4,1,3,47.45584476
24,64,file:///J:/Ellen/juv_mg_morphology_analysis/juv_tiff_processed/175-7-1_slice1.tif,0,175-7-1,TdT,0,slice1.tif,1345,1980,396,2780,352,2735,372.4892193,2757.165056,1345,1.53E-13,152110.0937,114952.9225,4.62E-12,-43621.60669,-24171.71345,-8699840.195,152145.3576,-84379.38114,12128469.36,-12408921.57,1.203286005,1410,0.667599028,41.38245024,1,0.679292929,0.831057617,0.168187533,0.00232581,3.51E-05,6.01E-07,-2.76E-12,-2.77E-08,-5.36E-14,145.5385397,80.67369174,113.0930065,32.43242133,32.43242133,113.119225,48.25574199,47.50789408,17,6.561073174,5.830951895,34.99053926,35.92741388,nan,nan,0.08408402,0.001732664,nan,-0.024113324,-0.000364336,-0.003575563,0.084103513,-0.001271835,0.004984701,-0.000139061,0.000987549,-0.004332468,0.000228108,-0.000462496,-44.98842045,142.6101731,0.953900709,1345,27558,716752,21033876,29812,567203,14075131,401093303,812930,14638171,344361843,9382298971,1,1,372.4892193,2757.165056,0,64,15,12,5,252.8650108
24,65,file:///J:/Ellen/juv_mg_morphology_analysis/juv_tiff_processed/175-7-1_slice1.tif,0,175-7-1,TdT,0,slice1.tif,970,1462,1212,2803,1178,2760,1194.752577,2782.020619,970,-1.68E-12,61666.61856,-53080.14752,-3.86E-12,-14690.05155,-39635.00489,-1455714.396,99591.58763,87912.09491,3821609.523,3025604.254,1.2541043,1038,0.677178714,35.14316944,1,0.663474692,0.797381845,0.171387189,0.002599698,0.000129678,4.77E-06,1.17E-10,2.15E-07,-1.95E-11,107.8515939,58.39397948,63.57383356,15.14438304,15.14438304,102.6717398,41.5406488,43.17406629,14.4222051,5.443766524,5,30.85773809,30.5663814,nan,nan,0.065540035,-0.001811352,nan,-0.015612766,-0.001352538,-0.001595001,0.105847154,0.002999986,0.004187271,0.000106442,-0.00048083,-0.003524941,-0.000164358,-0.000242444,-18.88229711,123.6396103,0.934489403,970,16250,333896,7606688,21360,343145,6820769,151688057,569952,8989109,173203765,3729335825,1,1,1194.752577,2782.020619,0,65,1,0,1,5.828427255
24,66,file:///J:/Ellen/juv_mg_morphology_analysis/juv_tiff_processed/175-7-1_slice1.tif,0,175-7-1,TdT,0,slice1.tif,1137,2236,309,2854,266,2802,286.2049252,2825.199648,1137,8.95E-13,106051.2524,163109.4797,-1.05E-12,-101922.518,47518.51926,-21343429.8,226523.6799,-501900.4132,26202816.2,-65090383.38,1.747744314,1344,0.912006247,38.04830302,1,0.508497317,0.572166073,0.257257818,0.033547553,0.001661723,0.000397684,3.23E-07,7.08E-05,-6.17E-09,250.377479,42.12466025,93.27286932,89.64161656,89.64161656,199.2292699,63.29328292,58.41232747,12.80624847,4.735077869,4.242640687,28.01235991,25.96140528,nan,nan,0.082034186,0.003741778,nan,-0.078840472,0.001090088,-0.014520542,0.175223632,-0.011513739,0.01782652,-0.001313274,0.01727511,-0.023933169,0.002694726,-0.00415419,-29.70845515,158.0243866,0.845982143,1137,22973,570219,15969857,26378,431043,9157725,227205717,838484,11710473,216403527,4723798383,1,1,286.2049252,2825.199648,0,66,4,2,2,40.45584476
24,67,file:///J:/Ellen/juv_mg_morphology_analysis/juv_tiff_processed/175-7-1_slice1.tif,0,175-7-1,TdT,0,slice1.tif,1281,1872,1001,2861,962,2813,983.2279469,2836.387198,1281,1.04E-12,114405.4395,-341352.2737,2.02E-12,-8683.061671,-49724.71818,-2498722.264,175471.95,611140.0524,12180645.73,67775206.96,1.311448075,1376,0.599443505,40.38588685,1,0.684294872,0.762515893,0.176650993,0.00149687,0.001383053,2.11E-05,-3.60E-09,-7.91E-07,1.82E-10,137.9255235,88.36439811,89.30947658,6.778346347,6.778346347,136.980445,46.97667906,47.26520919,16,5.99367957,5.385164807,37.04440896,37.60093576,nan,nan,0.069718561,-0.005812058,nan,-0.005291449,-0.000846641,-0.001188695,0.106932432,0.010405619,0.005794593,0.000900843,0.000911581,-0.000628077,-0.000239586,-0.000142977,-7.937358523,145.2964646,0.930959302,1281,27193,691657,19198291,29959,627285,15757547,431590407,876129,18803415,475939637,13034875353,1,1,983.2279469,2836.387198,0,67,13,5,8,229.3086612
24,68,file:///J:/Ellen/juv_mg_morphology_analysis/juv_tiff_processed/175-7-1_slice1.tif,0,175-7-1,TdT,0,slice1.tif,983,1330,638,2907,603,2869,620.0559512,2887.22177,983,0,68543.92269,15117.48983,-3.87E-12,6311.802645,-46551.97995,1419080.45,88775.65412,-47393.34482,4483408.633,-7244397.407,1.158741597,1024,0.51308895,35.37788112,1,0.739097744,0.86300518,0.162807997,0.00060905,6.57E-05,1.14E-06,-7.85E-12,-2.58E-08,-6.01E-12,92.1498245,67.89043675,69.72932115,-6.420958947,-6.420958947,90.3109401,38.39788005,37.65634077,15.13274595,5.840152103,5.099019514,31.28709563,32.9582613,nan,nan,0.07093522,0.000498995,nan,0.006532003,-0.001536577,0.001493986,0.091872777,-0.001564349,0.004720063,-0.000243257,0.001615596,0.000573176,-0.000162626,0.000145886,15.98106741,119.6396103,0.959960938,983,16766,354504,8399684,17912,311818,6628446,157602640,415164,7263648,152549100,3575903166,1,1,620.0559512,2887.22177,0,68,6,3,5,143.6101751
24,69,file:///J:/Ellen/juv_mg_morphology_analysis/juv_tiff_processed/175-7-1_slice1.tif,0,175-7-1,TdT,0,slice1.tif,1002,1410,920,2991,873,2961,895.0469062,2975.308383,1002,4.91E-12,151354.7954,303354.4673,-1.73E-12,-988.494012,283004.7719,873384.9579,49715.70958,-91928.77415,6308973.93,-4408015.318,1.4059735,1123,0.81952001,35.71814698,1,0.710638298,0.711250959,0.200268629,0.010252149,0.001100267,0.000106712,-1.95E-09,-2.05E-06,3.65E-08,151.0622836,49.6068831,151.05269,0.98652097,0.98652097,49.61647663,49.16295899,46.27094121,12.36931688,5.027483195,4.472135955,28.28720522,28.17286158,nan,nan,0.150751188,0.009545113,nan,-0.000984552,0.008904806,0.000868166,0.049517442,-0.002892559,0.006271271,-0.000138422,-0.001001942,-0.000357172,0.000775093,5.23E-06,-89.44283842,133.0538239,0.892252894,1002,22091,638393,21051755,14337,315098,9373790,319366682,254855,5498548,163970072,5640907324,1,1,895.0469062,2975.308383,0,69,9,3,6,139.8111849
