ImageNumber,ObjectNumber,Metadata_FileLocation,Metadata_Frame,Metadata_Mouse,Metadata_Series,Metadata_Slice,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_CentralMoment_0_0,AreaShape_CentralMoment_0_1,AreaShape_CentralMoment_0_2,AreaShape_CentralMoment_0_3,AreaShape_CentralMoment_1_0,AreaShape_CentralMoment_1_1,AreaShape_CentralMoment_1_2,AreaShape_CentralMoment_1_3,AreaShape_CentralMoment_2_0,AreaShape_CentralMoment_2_1,AreaShape_CentralMoment_2_2,AreaShape_CentralMoment_2_3,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_HuMoment_0,AreaShape_HuMoment_1,AreaShape_HuMoment_2,AreaShape_HuMoment_3,AreaShape_HuMoment_4,AreaShape_HuMoment_5,AreaShape_HuMoment_6,AreaShape_InertiaTensorEigenvalues_0,AreaShape_InertiaTensorEigenvalues_1,AreaShape_InertiaTensor_0_0,AreaShape_InertiaTensor_0_1,AreaShape_InertiaTensor_1_0,AreaShape_InertiaTensor_1_1,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_NormalizedMoment_0_0,AreaShape_NormalizedMoment_0_1,AreaShape_NormalizedMoment_0_2,AreaShape_NormalizedMoment_0_3,AreaShape_NormalizedMoment_1_0,AreaShape_NormalizedMoment_1_1,AreaShape_NormalizedMoment_1_2,AreaShape_NormalizedMoment_1_3,AreaShape_NormalizedMoment_2_0,AreaShape_NormalizedMoment_2_1,AreaShape_NormalizedMoment_2_2,AreaShape_NormalizedMoment_2_3,AreaShape_NormalizedMoment_3_0,AreaShape_NormalizedMoment_3_1,AreaShape_NormalizedMoment_3_2,AreaShape_NormalizedMoment_3_3,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_SpatialMoment_0_0,AreaShape_SpatialMoment_0_1,AreaShape_SpatialMoment_0_2,AreaShape_SpatialMoment_0_3,AreaShape_SpatialMoment_1_0,AreaShape_SpatialMoment_1_1,AreaShape_SpatialMoment_1_2,AreaShape_SpatialMoment_1_3,AreaShape_SpatialMoment_2_0,AreaShape_SpatialMoment_2_1,AreaShape_SpatialMoment_2_2,AreaShape_SpatialMoment_2_3,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_FilteredNuclei,Parent_Iba1_nuc
23,58,file:///J:/Ellen/juv_mg_morphology_analysis/juv_tiff_processed/175-4-3_slice2.tif,0,175-4-3,0,slice2.tif,1820,2915,830,3851,777,3796,805.8186813186813,3824.036813186813,1820.0,-5.542233338928781e-13,292316.16483516485,-1003302.0061586756,4.938272013532696e-12,-1248.8516483516319,448320.8274242237,-7884028.299515002,288376.53351648356,796851.4484180659,30855330.495122522,84709182.28352296,2.144809292475942,2151,0.12624531332307987,48.13830046250071,1,0.6243567753001715,0.4662419188074348,0.17530874844573374,1.9831597758306736e-06,0.0007563502355439722,2.637282274130814e-06,-3.4109644644330497e-11,3.7802367629955413e-10,1.1273973541607834e-10,160.81246590822482,158.24945626301056,160.6132773819587,0.6861822243690285,0.6861822243690285,158.44864478927667,50.72474203514097,58.7962583843564,17.0,6.129797839141699,5.385164807134504,49.97244068070127,50.31889605514184,nan,nan,0.08824905350657072,-0.00709991600202702,nan,-0.00037702320020276294,0.003172564389518256,-0.001307777949840659,0.087059694939163,0.005638958474251341,0.005118185694367638,0.00032936741512580315,-0.0038817085047489954,-2.9048378743884623e-05,-7.589964559678244e-05,-0.00011013162973058294,-73.81277041046314,221.4802307403552,0.8461180846118085,1820.0,52450.0,1803856.0,67829782.0,51027.0,1469282.0,50950714.0,1929495368.0,1719011.0,50266454.0,1755332218.0,66515176832.0,805.8186813186813,3824.036813186813,0,58,58,59
23,59,file:///J:/Ellen/juv_mg_morphology_analysis/juv_tiff_processed/175-4-3_slice2.tif,0,175-4-3,0,slice2.tif,2145,5642,1632,3917,1570,3826,1604.7995337995337,3870.4899766899766,2145.0,1.0842882147699129e-11,328097.7995337994,-1555245.1619584754,-1.9618084934336366e-11,-313819.31002331025,326047.1605500911,-122253884.26126353,881396.0344988346,1724375.640871332,157294637.11426702,-508944510.8908421,4.619819890047093,3200,0.9043295161923899,52.25991602994521,0,0.38018433179723504,0.2164586550558806,0.2628748668030784,0.03306981526878497,0.001055392103672048,2.9492628976749767e-06,1.635833567475053e-10,5.329300070704572e-07,1.77370366192902e-11,476.9685778626093,86.89801142999397,152.9593471020044,146.30270863557587,146.30270863557587,410.9072421905989,87.35844118230217,92.19544457292888,16.55294535724685,5.381485524479729,4.242640687119285,42.40764462330759,37.287641154676216,nan,nan,0.07130971892867337,-0.007298449673951938,nan,-0.06820639097229644,0.0015300731041099382,-0.012387417550962862,0.19156514787440507,0.008092144660999796,0.015937934080667772,-0.0011134607098881107,-0.0030530015873980005,-0.025361556854643558,-0.0013526338634552142,-0.004180458703070503,-24.301018123795156,352.8832970144351,0.6703125,2145.0,74645.0,2925709.0,123093365.0,95431.0,3007135.0,108649241.0,4248093259.0,5127119.0,152222099.0,5221265637.0,193670622431.0,1604.7995337995337,3870.4899766899766,0,59,59,60
23,60,file:///J:/Ellen/juv_mg_morphology_analysis/juv_tiff_processed/175-4-3_slice2.tif,0,175-4-3,0,slice2.tif,1687,2976,77,3905,15,3857,48.09662122110255,3882.4522821576766,1687.0,-3.737454790098127e-12,373599.2507409603,-1113035.3691414106,8.58335624798201e-12,86693.27800829876,16214.780894661597,40803149.334597185,203505.9087136929,176123.02178976618,30942757.012185954,-41558517.8368982,3.205791253930271,2097,0.7696849473149767,46.346036637108675,1,0.5668682795698925,0.31193546952690976,0.20277984737523605,0.007283703283709437,0.00022166797700068976,8.354972316518867e-05,-3.059666487736688e-09,6.9768958254001075e-06,1.0950818396873014e-08,243.03298388607038,99.05661863595282,221.45776570299955,-51.38902075180721,-51.38902075180721,120.63183681902363,62.35806076344201,65.39113089708727,15.811388300841896,5.174137395481161,4.123105625617661,41.774978079775025,39.810876631584556,nan,nan,0.13127312726911652,-0.009521848313862623,nan,0.030461778750330296,0.00013871498462855194,0.008498620509396182,0.07150672010611953,0.0015067056668243315,0.006444864027641413,-0.0002107449910628005,-0.00453271219819352,0.003966068493458718,0.00013373468299479366,0.0008136747123608359,67.22533839349092,260.69343417595167,0.804482594182165,1687.0,55834.0,2221516.0,97141384.0,42938.0,1507796.0,62297376.0,2799770924.0,1296376.0,47494872.0,1997599752.0,90578448132.0,48.09662122110255,3882.4522821576766,0,60,60,61
23,61,file:///J:/Ellen/juv_mg_morphology_analysis/juv_tiff_processed/175-4-3_slice2.tif,0,175-4-3,0,slice2.tif,4534,30375,1296,3969,1053,3844,1172.6947507719453,3918.7765769739744,4534.0,1.6007106751203537e-10,12745475.535068378,-64331303.338097274,-5.820766091346741e-11,1634030.7825319804,210208700.37054443,12415818829.516102,2587862.6724746353,36620064.37349134,8032059261.630286,578692448779.0044,20.069527331631484,15965,0.9059148797628357,75.9793925734421,0,0.14926748971193415,0.04982678383381281,0.7458881086247053,0.2694231532798848,0.26147523926102845,0.012905580741961643,-0.0007199120222647514,-0.006692571119884654,-0.00020919250610374463,2867.637077664937,514.219606839477,2811.088560888482,-360.39496747507286,-360.39496747507286,570.768123615932,214.20129141216444,244.75293665245368,16.278820596099706,3.703861116446616,2.8284271247461903,107.1551134280373,90.70564320609624,nan,nan,0.6200018881536131,-0.04647491035348536,nan,0.07948720059000285,0.15186122460320522,0.1332081569194909,0.1258862204710922,0.026455459793070787,0.08617521125278835,0.09220670655207087,-0.04003635106774909,0.04234829814089077,0.03469567676556805,0.060480271220376226,81.08259466934099,1069.3361825443205,0.2839962417788913,4534.0,542696.0,77703338.0,12287483408.0,339037.0,42214980.0,6411768150.0,1076945861898.0,27939889.0,3625252572.0,578293496910.0,101829353765250.0,1172.6947507719453,3918.7765769739744,0,61,61,62
23,62,file:///J:/Ellen/juv_mg_morphology_analysis/juv_tiff_processed/175-4-3_slice2.tif,0,175-4-3,0,slice2.tif,2395,6831,267,3964,168,3895,228.05636743215032,3926.0864300626304,2395.0,8.967049325292464e-12,1072721.3903966593,-16209749.07950192,-6.902922677909373e-12,255324.33194154483,-6728857.9885696145,411620964.82993865,575145.1089770355,-2911553.857379457,254712364.4119097,-4875246326.657271,7.0570398051770855,4492,0.777177739863375,55.2214515350757,0,0.350607524520568,0.14170247406942416,0.28728370245486984,0.015450260758974956,0.0070724138761662685,0.0048994734757567895,2.4560008280115677e-05,0.000575377983860425,-1.5119530981297975e-05,492.87037943731025,195.1740879421031,447.9003717731354,-106.60723671880787,-106.60723671880787,240.14409560627792,88.80273684406896,103.73041983911952,16.0312195418814,4.713910037632768,3.1622776601683795,65.84329425370929,55.88188800562889,nan,nan,0.1870147690075722,-0.05774474898477033,nan,0.044512416166516855,-0.023970526230752624,0.02996269910970157,0.10026893344729765,-0.010371964786464332,0.01854101366665767,-0.007251489986926824,0.007858829213849693,0.0037670921044800918,-0.0025858008832026222,0.003272868728735129,67.1285797232441,460.8599564173221,0.5331700801424755,2395.0,143835.0,9710929.0,695840871.0,74452.0,4726641.0,325816961.0,23593183563.0,2889592.0,186501089.0,12852071649.0,928512612071.0,228.05636743215032,3926.0864300626304,0,62,62,63
23,63,file:///J:/Ellen/juv_mg_morphology_analysis/juv_tiff_processed/175-4-3_slice2.tif,0,175-4-3,0,slice2.tif,1286,2773,1726,3976,1679,3917,1697.0007776049767,3949.423794712286,1286.0,1.1937117960769683e-12,111016.99922239507,394380.0178861234,-7.524647571699461e-12,-42787.4237947123,240811.12585349067,-4856628.6116348505,221356.03188180397,-196727.13924087354,11866605.385481095,-45508448.20697163,2.4869431631384256,1733,0.7691955377477796,40.464627201166934,1,0.46375766318067074,0.4021000619644395,0.20097583444644868,0.0071288712578136395,0.0008204956904968892,6.153388891047994e-05,-4.919994040463625e-09,5.072560846305684e-06,1.292143591762389e-08,183.51765120310796,74.93727189502499,86.32737109050936,33.27171368173585,33.27171368173585,172.1275520076236,54.18747474508964,59.43904440685432,14.866068747318506,5.380646664404207,4.47213595499958,42.57702445324645,34.626526685770834,nan,nan,0.06712859338297775,0.006649859674235591,nan,-0.025872250141318696,0.004060449622939034,-0.002283557692879993,0.13384724106347093,-0.0033171251349842935,0.005579606797906807,-0.000596689831249952,-0.01116163046849996,-0.007766852440608999,0.0006501608736757525,-0.000707492693890038,-18.897912120988348,200.47413408594534,0.742065781881131,1286.0,23149.0,527717.0,13890481.0,41697.0,707791.0,15810985.0,416936869.0,1573331.0,25349793.0,547023755.0,14129450319.0,1697.0007776049767,3949.423794712286,0,63,63,64
23,64,file:///J:/Ellen/juv_mg_morphology_analysis/juv_tiff_processed/175-4-3_slice2.tif,0,175-4-3,0,slice2.tif,7662,35952,278,4078,64,3910,146.28047507178283,3990.9728530409816,7662.0,0.0,17091422.25907074,504560742.2912436,1.2732925824820995e-10,-5381991.661185069,13816883.4972298,-19719653283.63942,8180120.353432525,-142892508.84117112,15407285309.559462,-466442892408.9217,24.876805199885965,20328,0.8438804017130813,98.77024547788072,-3,0.21311748998664887,0.04019808781573704,0.430474526908982,0.056660088974846215,0.03301415080738753,0.005223846524445549,5.1582308976003184e-05,0.00028649160677966253,4.5226938885583554e-05,2561.055392601912,737.240432574708,2230.6737482472904,702.426476270565,702.426476270565,1067.6220769293298,202.4274840075591,236.59670327373541,15.264337522473747,3.8672242345990893,3.0,115.76618952242974,108.6086871350323,nan,nan,0.2911346578239742,0.09818792626220683,nan,-0.0916766479079307,0.0026887766413194567,-0.04384023079897857,0.1393398690850078,-0.027806997147273176,0.034253084181616884,-0.01184679744418743,0.013754195759199665,-0.036163741199834704,0.015479862971664453,-0.015055043392790254,-64.81036299268384,1547.6519830843583,0.3769185360094451,7662.0,630433.0,68963749.0,8991511459.0,620414.0,45665967.0,4712342735.0,602449774851.0,58416812.0,3792080095.0,358248552287.0,43601613584119.0,146.28047507178283,3990.9728530409816,0,64,64,65
23,65,file:///J:/Ellen/juv_mg_morphology_analysis/juv_tiff_processed/175-4-3_slice2.tif,0,175-4-3,0,slice2.tif,4977,28208,1657,4177,1493,4005,1580.6057866184449,4081.5041189471567,4977.0,-1.4551915228366852e-11,6559596.55334539,-16931752.880183518,-6.548361852765083e-11,3267856.081374321,78733473.37518832,9067785331.328043,5719434.165561583,51989792.76324351,10918478081.802109,303277656679.7578,22.89495343069363,16110,0.8357415962161284,79.60473110404246,0,0.17643930799773114,0.04367774771969492,0.4957112833119944,0.07076741339630462,0.02104208230492699,0.005899268152359707,-1.801120109935844e-06,0.0006121055570797096,6.570197719611035e-05,1895.5719140321057,571.5831430116901,1317.982027997868,-656.5915373466588,-656.5915373466588,1149.173029045928,174.15266470689932,206.37102509800158,16.55294535724685,3.8158767672029006,2.8284271247461903,103.58183586571285,95.6312202587996,nan,nan,0.26481455254126346,-0.009689086194794938,nan,0.13192516322014444,0.045054721465998836,0.07355264721952881,0.23089673077073092,0.029750823018575304,0.08856439992578992,0.03487013856752479,0.02908565126015545,0.09523547864668865,0.04324184360964018,0.06365380734496967,48.662584720743254,1196.6265504461921,0.3089385474860335,4977.0,436014.0,44756946.0,5053352940.0,380761.0,36624723.0,4075390399.0,491602792527.0,34849219.0,3604991937.0,425534315145.0,53857968399165.0,1580.6057866184449,4081.5041189471567,0,65,65,66
23,66,file:///J:/Ellen/juv_mg_morphology_analysis/juv_tiff_processed/175-4-3_slice2.tif,0,175-4-3,0,slice2.tif,1312,3008,212,4124,165,4060,188.9405487804878,4090.587652439024,1312.0,-3.183231456205249e-12,168211.3628048781,-366472.6123494201,-4.227729277772596e-12,-37860.163109756104,86047.79158146163,-4773056.704175969,248793.91996951224,-50032.72750362532,20753441.480919138,-97105562.51043217,4.597635187989878,2084,0.647442491907804,40.87163175960233,1,0.43617021276595747,0.21750312043292144,0.24225563441961068,0.004126565127052433,7.108386734037735e-05,0.00021897320120605658,-6.984367675011382e-09,1.3833042632568667e-05,2.6411570120976727e-08,201.0600513096528,116.77934104887636,128.20988018664488,28.856831638533617,28.856831638533617,189.6295121718843,56.71825826799026,63.12685640834652,11.045361017187261,3.6103408679529334,3.0,45.37447605122374,43.22579619604504,nan,nan,0.09772094526421105,-0.005877693512508557,nan,-0.02199453630985794,0.0013800827928222281,-0.0021134651392862138,0.14453468915539963,-0.000802452974523438,0.009189430968160146,-0.0011870682403616515,0.011824039446760784,-0.008581353010632056,-0.00016316111967704564,-0.0006967288215085033,-21.609115914298773,275.32085117392114,0.6295585412667947,1312.0,31410.0,920184.0,29717382.0,40131.0,922898.0,26419530.0,845293346.0,1476307.0,32977460.0,916248552.0,28628605772.0,188.9405487804878,4090.587652439024,0,66,66,67
23,67,file:///J:/Ellen/juv_mg_morphology_analysis/juv_tiff_processed/175-4-3_slice2.tif,0,175-4-3,0,slice2.tif,3744,30082,1562,4279,1384,4110,1479.3108974358975,4201.453792735043,3744.0,-2.9103830456733704e-11,9004194.115384616,-165746695.0973864,8.731149137020111e-11,8452743.78525641,-146345612.83335385,33393492496.25991,8919420.006143162,-129185731.95146945,31347330322.597275,-1043966815589.8567,21.77033475585851,12812,0.9852787506437943,69.04352870101911,0,0.12445980985306827,0.04593406629775845,1.2786565428851246,1.4545309338617094,0.20331667640687662,0.2162846973995184,0.045328294393953764,0.25982703492976295,0.0015562573663830334,4651.350727090756,135.9393694711498,2404.966376972386,-2257.6772930706225,-2257.6772930706225,2382.3237195895194,272.80324710943614,235.49309968659378,14.7648230602334,3.177391212017758,2.23606797749979,67.04020647341473,46.637215949694045,nan,nan,0.642352130601599,-0.19324367025242772,nan,0.6030120975081791,-0.17062399544462487,0.6362888638648744,0.6363044122835256,-0.150617331898414,0.5973007225403664,-0.32509572142978355,-0.14249628272230772,0.6008887030887704,-0.2981829235685608,0.7350722358819766,45.14365625181261,1012.0580079512686,0.29222603808929126,3744.0,356844.0,43015316.0,5650477320.0,342403.0,41087481.0,5398845373.0,738664491861.0,40233473.0,5251573643.0,715465651379.0,99969136643435.0,1479.3108974358975,4201.453792735043,0,67,67,68
